articulograph,position,trial,sensor,coordinate,SD
WAVE,p3,t1,s3,yaw,0.1646
WAVE,p3,t1,s4,yaw,0.2185
WAVE,p3,t1,s5,yaw,0.0604
WAVE,p3,t1,s6,yaw,0.0517
WAVE,p3,t1,s7,yaw,0.0101
WAVE,p3,t1,s8,yaw,0.0127
VOX,p3,t1,s1,yaw,0.1374
VOX,p3,t1,s2,yaw,0.0002
VOX,p3,t1,s3,yaw,0.0947
VOX,p3,t1,s4,yaw,0.0002
VOX,p3,t1,s5,yaw,0.1434
VOX,p3,t1,s6,yaw,0.0002
VOX,p3,t1,s7,yaw,0.128
VOX,p3,t1,s8,yaw,0.0007
WAVE,p4,t1,s1,Qx,0.0925
WAVE,p4,t1,s2,Qx,0.2173
WAVE,p4,t1,s3,Qx,0.0798
WAVE,p4,t1,s4,Qx,0.1095
WAVE,p4,t1,s5,Qx,0.0806
WAVE,p4,t1,s6,Qx,0.1516
WAVE,p4,t1,s7,Qx,0.1748
WAVE,p4,t1,s8,Qx,0.2473
VOX,p4,t1,s1,Qx,0.0185
VOX,p4,t1,s2,Qx,0.0207
VOX,p4,t1,s3,Qx,0.0219
VOX,p4,t1,s4,Qx,0.022
VOX,p4,t1,s5,Qx,0.0165
VOX,p4,t1,s6,Qx,0.0231
VOX,p4,t1,s7,Qx,0.0205
VOX,p4,t1,s8,Qx,0.0305
WAVE,p4,t1,s1,Qy,0.1222
WAVE,p4,t1,s2,Qy,0.1582
WAVE,p4,t1,s3,Qy,0.13
WAVE,p4,t1,s4,Qy,0.1826
WAVE,p4,t1,s5,Qy,0.1385
WAVE,p4,t1,s6,Qy,0.1707
WAVE,p4,t1,s7,Qy,0.1307
WAVE,p4,t1,s8,Qy,0.2235
VOX,p4,t1,s1,Qy,0.0192
VOX,p4,t1,s2,Qy,0.0252
VOX,p4,t1,s3,Qy,0.0213
VOX,p4,t1,s4,Qy,0.0258
VOX,p4,t1,s5,Qy,0.0197
VOX,p4,t1,s6,Qy,0.0298
VOX,p4,t1,s7,Qy,0.0268
VOX,p4,t1,s8,Qy,0.0388
WAVE,p4,t1,s1,Qz,0.2087
WAVE,p4,t1,s2,Qz,0.1993
WAVE,p4,t1,s3,Qz,0.1302
WAVE,p4,t1,s4,Qz,0.1822
WAVE,p4,t1,s5,Qz,0.1203
WAVE,p4,t1,s6,Qz,0.1683
WAVE,p4,t1,s7,Qz,0.1186
WAVE,p4,t1,s8,Qz,0.2009
VOX,p4,t1,s1,Qz,0.0128
VOX,p4,t1,s2,Qz,0.0154
VOX,p4,t1,s3,Qz,0.0175
VOX,p4,t1,s4,Qz,0.0165
VOX,p4,t1,s5,Qz,0.0132
VOX,p4,t1,s6,Qz,0.0173
VOX,p4,t1,s7,Qz,0.0136
VOX,p4,t1,s8,Qz,0.0192
WAVE,p4,t1,s1,pitch,0.0178
WAVE,p4,t1,s2,pitch,0.035
WAVE,p4,t1,s3,pitch,0.0193
WAVE,p4,t1,s4,pitch,0.0208
WAVE,p4,t1,s5,pitch,0.0195
WAVE,p4,t1,s6,pitch,0.0357
WAVE,p4,t1,s7,pitch,0.0241
WAVE,p4,t1,s8,pitch,0.0222
VOX,p4,t1,s1,pitch,0.0098
VOX,p4,t1,s2,pitch,0.0109
VOX,p4,t1,s3,pitch,0.0118
VOX,p4,t1,s4,pitch,0.0118
VOX,p4,t1,s5,pitch,0.0091
VOX,p4,t1,s6,pitch,0.0128
VOX,p4,t1,s7,pitch,0.0117
VOX,p4,t1,s8,pitch,0.0165
WAVE,p4,t1,s1,yaw,0.0372
WAVE,p4,t1,s2,yaw,0.043
WAVE,p4,t1,s3,yaw,0.2843
WAVE,p4,t1,s4,yaw,0.4739
WAVE,p4,t1,s5,yaw,0.1117
WAVE,p4,t1,s6,yaw,0.0907
WAVE,p4,t1,s7,yaw,0.0187
WAVE,p4,t1,s8,yaw,0.024
VOX,p4,t1,s1,yaw,0.2295
VOX,p4,t1,s2,yaw,0.0003
VOX,p4,t1,s3,yaw,0.1855
VOX,p4,t1,s4,yaw,0.0004
VOX,p4,t1,s5,yaw,0.2768
VOX,p4,t1,s6,yaw,0.0003
VOX,p4,t1,s7,yaw,0.2049
VOX,p4,t1,s8,yaw,0.0013
WAVE,p5,t1,s1,Qx,0.1999
WAVE,p5,t1,s2,Qx,0.4436
WAVE,p5,t1,s3,Qx,0.1772
WAVE,p5,t1,s4,Qx,0.2345
WAVE,p5,t1,s5,Qx,0.1709
WAVE,p5,t1,s6,Qx,0.2655
WAVE,p5,t1,s7,Qx,0.3438
WAVE,p5,t1,s8,Qx,0.4828
VOX,p5,t1,s1,Qx,0.0348
VOX,p5,t1,s2,Qx,0.0399
VOX,p5,t1,s3,Qx,0.0421
VOX,p5,t1,s4,Qx,0.0434
VOX,p5,t1,s5,Qx,0.0367
VOX,p5,t1,s6,Qx,0.0471
VOX,p5,t1,s7,Qx,0.0391
VOX,p5,t1,s8,Qx,0.0648
WAVE,p5,t1,s1,Qy,0.212
WAVE,p5,t1,s2,Qy,0.3065
WAVE,p5,t1,s3,Qy,0.2781
WAVE,p5,t1,s4,Qy,0.3994
WAVE,p5,t1,s5,Qy,0.2719
WAVE,p5,t1,s6,Qy,0.3375
WAVE,p5,t1,s7,Qy,0.2785
WAVE,p5,t1,s8,Qy,0.4282
VOX,p5,t1,s1,Qy,0.0345
VOX,p5,t1,s2,Qy,0.046
VOX,p5,t1,s3,Qy,0.0446
VOX,p5,t1,s4,Qy,0.0492
VOX,p5,t1,s5,Qy,0.0428
VOX,p5,t1,s6,Qy,0.0571
VOX,p5,t1,s7,Qy,0.0474
VOX,p5,t1,s8,Qy,0.0728
WAVE,p5,t1,s1,Qz,0.3969
WAVE,p5,t1,s2,Qz,0.3523
WAVE,p5,t1,s3,Qz,0.2495
WAVE,p5,t1,s4,Qz,0.3446
WAVE,p5,t1,s5,Qz,0.2635
WAVE,p5,t1,s6,Qz,0.3815
WAVE,p5,t1,s7,Qz,0.2356
WAVE,p5,t1,s8,Qz,0.47
VOX,p5,t1,s1,Qz,0.0264
VOX,p5,t1,s2,Qz,0.0339
VOX,p5,t1,s3,Qz,0.0344
VOX,p5,t1,s4,Qz,0.033
VOX,p5,t1,s5,Qz,0.0251
VOX,p5,t1,s6,Qz,0.0306
VOX,p5,t1,s7,Qz,0.026
VOX,p5,t1,s8,Qz,0.0382
WAVE,p5,t1,s1,pitch,0.0299
WAVE,p5,t1,s2,pitch,0.0537
WAVE,p5,t1,s3,pitch,0.034
WAVE,p5,t1,s4,pitch,0.0287
WAVE,p5,t1,s5,pitch,0.0293
WAVE,p5,t1,s6,pitch,0.0549
WAVE,p5,t1,s7,pitch,0.0378
WAVE,p5,t1,s8,pitch,0.0317
VOX,p5,t1,s1,pitch,0.016
VOX,p5,t1,s2,pitch,0.0186
VOX,p5,t1,s3,pitch,0.0197
VOX,p5,t1,s4,pitch,0.02
VOX,p5,t1,s5,pitch,0.0175
VOX,p5,t1,s6,pitch,0.0214
VOX,p5,t1,s7,pitch,0.0196
VOX,p5,t1,s8,pitch,0.0309
WAVE,p5,t1,s1,yaw,0.0628
WAVE,p5,t1,s2,yaw,0.0696
WAVE,p5,t1,s3,yaw,0.5093
WAVE,p5,t1,s4,yaw,0.8969
WAVE,p5,t1,s5,yaw,0.1911
WAVE,p5,t1,s6,yaw,0.1315
WAVE,p5,t1,s7,yaw,0.0283
WAVE,p5,t1,s8,yaw,0.0414
VOX,p5,t1,s1,yaw,0.3637
VOX,p5,t1,s2,yaw,0.0005
VOX,p5,t1,s3,yaw,0.3067
VOX,p5,t1,s4,yaw,0.0007
VOX,p5,t1,s5,yaw,0.4931
VOX,p5,t1,s6,yaw,0.0006
VOX,p5,t1,s7,yaw,0.3449
VOX,p5,t1,s8,yaw,0.0023
WAVE,p6,t1,s1,Qx,0.4689
WAVE,p6,t1,s2,Qx,1.0435
WAVE,p6,t1,s3,Qx,0.4343
WAVE,p6,t1,s4,Qx,0.5356
WAVE,p6,t1,s5,Qx,0.4073
WAVE,p6,t1,s6,Qx,0.586
WAVE,p6,t1,s7,Qx,0.8456
WAVE,p6,t1,s8,Qx,1.201
VOX,p6,t1,s1,Qx,0.0701
VOX,p6,t1,s2,Qx,0.0805
VOX,p6,t1,s3,Qx,0.0786
VOX,p6,t1,s4,Qx,0.0891
VOX,p6,t1,s5,Qx,0.0652
VOX,p6,t1,s6,Qx,0.0941
VOX,p6,t1,s7,Qx,0.0742
VOX,p6,t1,s8,Qx,0.1134
WAVE,p6,t1,s1,Qy,0.4911
WAVE,p6,t1,s2,Qy,0.7495
WAVE,p6,t1,s3,Qy,0.7424
WAVE,p6,t1,s4,Qy,0.9041
WAVE,p6,t1,s5,Qy,0.6095
WAVE,p6,t1,s6,Qy,0.63
WAVE,p6,t1,s7,Qy,0.6818
WAVE,p6,t1,s8,Qy,1.0963
VOX,p6,t1,s1,Qy,0.0696
VOX,p6,t1,s2,Qy,0.0915
VOX,p6,t1,s3,Qy,0.0881
VOX,p6,t1,s4,Qy,0.0869
VOX,p6,t1,s5,Qy,0.076
VOX,p6,t1,s6,Qy,0.0959
VOX,p6,t1,s7,Qy,0.0845
VOX,p6,t1,s8,Qy,0.1126
WAVE,p6,t1,s1,Qz,0.8682
WAVE,p6,t1,s2,Qz,0.7463
WAVE,p6,t1,s3,Qz,0.53
WAVE,p6,t1,s4,Qz,0.761
WAVE,p6,t1,s5,Qz,0.5864
WAVE,p6,t1,s6,Qz,0.8925
WAVE,p6,t1,s7,Qz,0.6587
WAVE,p6,t1,s8,Qz,1.2147
VOX,p6,t1,s1,Qz,0.0502
VOX,p6,t1,s2,Qz,0.0605
VOX,p6,t1,s3,Qz,0.0633
VOX,p6,t1,s4,Qz,0.0593
VOX,p6,t1,s5,Qz,0.0486
VOX,p6,t1,s6,Qz,0.0632
VOX,p6,t1,s7,Qz,0.0461
VOX,p6,t1,s8,Qz,0.0632
WAVE,p6,t1,s1,pitch,0.0472
WAVE,p6,t1,s2,pitch,0.0957
WAVE,p6,t1,s3,pitch,0.0709
WAVE,p6,t1,s4,pitch,0.045
WAVE,p6,t1,s5,pitch,0.0453
WAVE,p6,t1,s6,pitch,0.0942
WAVE,p6,t1,s7,pitch,0.0695
WAVE,p6,t1,s8,pitch,0.0585
VOX,p6,t1,s1,pitch,0.0273
VOX,p6,t1,s2,pitch,0.0323
VOX,p6,t1,s3,pitch,0.0317
VOX,p6,t1,s4,pitch,0.0351
VOX,p6,t1,s5,pitch,0.0267
VOX,p6,t1,s6,pitch,0.0371
VOX,p6,t1,s7,pitch,0.0314
VOX,p6,t1,s8,pitch,0.0464
WAVE,p6,t1,s1,yaw,0.1257
WAVE,p6,t1,s2,yaw,0.1276
WAVE,p6,t1,s3,yaw,0.9746
WAVE,p6,t1,s4,yaw,1.7117
WAVE,p6,t1,s5,yaw,0.3782
WAVE,p6,t1,s6,yaw,0.2287
WAVE,p6,t1,s7,yaw,0.0559
WAVE,p6,t1,s8,yaw,0.088
VOX,p6,t1,s1,yaw,0.5566
VOX,p6,t1,s2,yaw,0.0007
VOX,p6,t1,s3,yaw,0.468
VOX,p6,t1,s4,yaw,0.0012
VOX,p6,t1,s5,yaw,0.6891
VOX,p6,t1,s6,yaw,0.001
VOX,p6,t1,s7,yaw,0.5715
VOX,p6,t1,s8,yaw,0.0029
WAVE,p7,t1,s1,Qx,0.215
WAVE,p7,t1,s2,Qx,0.1223
WAVE,p7,t1,s3,Qx,0.0932
WAVE,p7,t1,s4,Qx,0.0709
WAVE,p7,t1,s5,Qx,0.0645
WAVE,p7,t1,s6,Qx,0.0193
WAVE,p7,t1,s7,Qx,0.0327
WAVE,p7,t1,s8,Qx,0.0363
VOX,p7,t1,s1,Qx,0.0018
VOX,p7,t1,s2,Qx,0.0032
VOX,p7,t1,s3,Qx,0.005
VOX,p7,t1,s4,Qx,0.006
VOX,p7,t1,s5,Qx,0.0079
VOX,p7,t1,s6,Qx,0.0105
VOX,p7,t1,s7,Qx,0.0139
VOX,p7,t1,s8,Qx,0.0151
WAVE,p7,t1,s1,Qy,0.2045
WAVE,p7,t1,s2,Qy,0.0632
WAVE,p7,t1,s3,Qy,0.0527
WAVE,p7,t1,s4,Qy,0.0569
WAVE,p7,t1,s5,Qy,0.0671
WAVE,p7,t1,s6,Qy,0.042
WAVE,p7,t1,s7,Qy,0.014
WAVE,p7,t1,s8,Qy,0.0225
VOX,p7,t1,s1,Qy,0.0037
VOX,p7,t1,s2,Qy,0.0056
VOX,p7,t1,s3,Qy,0.0074
VOX,p7,t1,s4,Qy,0.0089
VOX,p7,t1,s5,Qy,0.0108
VOX,p7,t1,s6,Qy,0.0156
VOX,p7,t1,s7,Qy,0.018
VOX,p7,t1,s8,Qy,0.0189
WAVE,p7,t1,s1,Qz,0.275
WAVE,p7,t1,s2,Qz,0.0823
WAVE,p7,t1,s3,Qz,0.1058
WAVE,p7,t1,s4,Qz,0.1202
WAVE,p7,t1,s5,Qz,0.0594
WAVE,p7,t1,s6,Qz,0.0426
WAVE,p7,t1,s7,Qz,0.0217
WAVE,p7,t1,s8,Qz,0.055
VOX,p7,t1,s1,Qz,0.0022
VOX,p7,t1,s2,Qz,0.0028
VOX,p7,t1,s3,Qz,0.0045
VOX,p7,t1,s4,Qz,0.0042
VOX,p7,t1,s5,Qz,0.0066
VOX,p7,t1,s6,Qz,0.0078
VOX,p7,t1,s7,Qz,0.0119
VOX,p7,t1,s8,Qz,0.01
WAVE,p7,t1,s1,pitch,0.0881
WAVE,p7,t1,s2,pitch,0.0458
WAVE,p7,t1,s3,pitch,0.075
WAVE,p7,t1,s4,pitch,0.0688
WAVE,p7,t1,s5,pitch,0.0511
WAVE,p7,t1,s6,pitch,0.0134
WAVE,p7,t1,s7,pitch,0.0208
WAVE,p7,t1,s8,pitch,0.0275
VOX,p7,t1,s1,pitch,0.0008
VOX,p7,t1,s2,pitch,0.0009
VOX,p7,t1,s3,pitch,0.0015
VOX,p7,t1,s4,pitch,0.0019
VOX,p7,t1,s5,pitch,0.0026
VOX,p7,t1,s6,pitch,0.0025
VOX,p7,t1,s7,pitch,0.0025
VOX,p7,t1,s8,pitch,0.0026
WAVE,p7,t1,s1,yaw,0.2278
WAVE,p7,t1,s2,yaw,0.0343
WAVE,p7,t1,s3,yaw,1.5202
WAVE,p7,t1,s4,yaw,0.0019
WAVE,p7,t1,s5,yaw,0.3529
WAVE,p7,t1,s6,yaw,0.0453
WAVE,p7,t1,s7,yaw,0.0296
WAVE,p7,t1,s8,yaw,0.0416
VOX,p7,t1,s1,yaw,0.0151
VOX,p7,t1,s2,yaw,0.0153
VOX,p7,t1,s3,yaw,0.0302
VOX,p7,t1,s4,yaw,0.0343
VOX,p7,t1,s5,yaw,0.0718
VOX,p7,t1,s6,yaw,0.0634
VOX,p7,t1,s7,yaw,0.0265
VOX,p7,t1,s8,yaw,0.0274
WAVE,p8,t1,s1,Qx,0.9777
WAVE,p8,t1,s2,Qx,0.2997
WAVE,p8,t1,s3,Qx,0.307
WAVE,p8,t1,s4,Qx,0.2057
WAVE,p8,t1,s5,Qx,0.2614
WAVE,p8,t1,s6,Qx,0.1547
WAVE,p8,t1,s7,Qx,0.1012
WAVE,p8,t1,s8,Qx,0.0771
VOX,p8,t1,s1,Qx,0.0095
VOX,p8,t1,s2,Qx,0.0094
VOX,p8,t1,s3,Qx,0.0125
VOX,p8,t1,s4,Qx,0.0141
VOX,p8,t1,s5,Qx,0.0156
VOX,p8,t1,s6,Qx,0.0224
VOX,p8,t1,s7,Qx,0.0276
VOX,p8,t1,s8,Qx,0.0392
WAVE,p8,t1,s1,Qy,0.5294
WAVE,p8,t1,s2,Qy,0.1847
WAVE,p8,t1,s3,Qy,0.2274
WAVE,p8,t1,s4,Qy,0.1585
WAVE,p8,t1,s5,Qy,0.1374
