articulograph,trial,sensorSet,dynamicTask,sensor,missing
VOX,t4,sv2a,automatedFast,sa3,0
VOX,t4,sv2a,automatedFast,sa4,0
VOX,t4,sv2a,automatedFast,sa5,0
VOX,t4,sv2a,automatedFast,sa6,0
VOX,t4,sv2a,automatedFast,sa7,0
VOX,t4,sv2a,automatedFast,sa8,0
VOX,t4,sv2b,blockSmall,bs1,0
VOX,t4,sv2b,blockSmall,bs2,0
VOX,t4,sv2b,blockSmall,bs3,0
VOX,t4,sv2b,blockSmall,bs4,0
VOX,t4,sv2b,blockSmall,bs5,0
VOX,t4,sv2b,blockSmall,bs6,0
VOX,t4,sv2b,blockSmall,bs7,0
VOX,t4,sv2b,blockSmall,bs8,0
VOX,t4,sv2b,blockLarge,bs1,0
VOX,t4,sv2b,blockLarge,bs2,0
VOX,t4,sv2b,blockLarge,bs3,0
VOX,t4,sv2b,blockLarge,bs4,0
VOX,t4,sv2b,blockLarge,bs5,0
VOX,t4,sv2b,blockLarge,bs6,0
VOX,t4,sv2b,blockLarge,bs7,0
VOX,t4,sv2b,blockLarge,bs8,0
VOX,t4,sv2b,CD,cds1,0.2
VOX,t4,sv2b,CD,cds2,0.2
VOX,t4,sv2b,CD,cds3,0.6
VOX,t4,sv2b,CD,cds4,0
VOX,t4,sv2b,CD,cds5,0
