articulograph,trial,sensor,sensorSet,positionPair,error
VOX,t4,s1,sv2,eightnine,0.2789
VOX,t4,s1,sv2,teneleven,0.0756
VOX,t4,s1,sv2,eleventwelve,0.6029
VOX,t4,s1,sv2,thirteenfourteen,0.2718
VOX,t4,s1,sv2,fourteenfifteen,0.4602
VOX,t4,s2,sv2,onetwo,0.0428
VOX,t4,s2,sv2,twothree,0.0052
VOX,t4,s2,sv2,threefour,0.078
VOX,t4,s2,sv2,fourfive,0.1453
VOX,t4,s2,sv2,fivesix,0.1691
VOX,t4,s2,sv2,seveneight,0.2332
VOX,t4,s2,sv2,eightnine,0.4485
VOX,t4,s2,sv2,teneleven,0.0153
VOX,t4,s2,sv2,eleventwelve,0.5476
VOX,t4,s2,sv2,thirteenfourteen,0.1484
VOX,t4,s2,sv2,fourteenfifteen,0.4656
